,Compound,Date,Media Source,Negative,Neutral,Positive,Tweets Ago
0,0.0,Sun Mar 04 01:55:57 +0000 2018,@BBCNews,1.0,0.0,0.0,1
1,0.0,Sat Mar 03 22:49:57 +0000 2018,@BBCNews,1.0,0.0,0.0,2
2,0.0,Sat Mar 03 22:49:57 +0000 2018,@BBCNews,1.0,0.0,0.0,3
3,-0.7717,Sat Mar 03 22:49:57 +0000 2018,@BBCNews,0.394,0.606,0.0,4
4,0.7845,Sat Mar 03 21:27:26 +0000 2018,@BBCNews,0.635,0.0,0.365,5
5,0.4019,Sat Mar 03 18:36:14 +0000 2018,@BBCNews,0.748,0.0,0.252,6
6,-0.6486,Sat Mar 03 18:13:36 +0000 2018,@BBCNews,0.485,0.515,0.0,7
7,-0.6808,Sat Mar 03 17:56:55 +0000 2018,@BBCNews,0.703,0.238,0.059,8
8,0.128,Sat Mar 03 17:52:18 +0000 2018,@BBCNews,0.824,0.079,0.097,9
9,-0.0516,Sat Mar 03 17:00:54 +0000 2018,@BBCNews,0.812,0.098,0.09,10
10,0.0,Sat Mar 03 16:59:02 +0000 2018,@BBCNews,1.0,0.0,0.0,11
11,0.0,Sat Mar 03 16:57:36 +0000 2018,@BBCNews,1.0,0.0,0.0,12
12,-0.5719,Sat Mar 03 16:57:32 +0000 2018,@BBCNews,0.821,0.179,0.0,13
13,-0.9081,Sat Mar 03 16:43:44 +0000 2018,@BBCNews,0.345,0.655,0.0,14
14,0.0258,Sat Mar 03 16:43:44 +0000 2018,@BBCNews,0.609,0.191,0.2,15
15,0.0516,Sat Mar 03 16:16:41 +0000 2018,@BBCNews,0.952,0.0,0.048,16
16,0.0,Sat Mar 03 15:38:43 +0000 2018,@BBCNews,1.0,0.0,0.0,17
17,0.743,Sat Mar 03 15:05:29 +0000 2018,@BBCNews,0.657,0.0,0.343,18
18,0.5859,Sat Mar 03 14:22:50 +0000 2018,@BBCNews,0.863,0.0,0.137,19
19,-0.7506,Sat Mar 03 14:21:27 +0000 2018,@BBCNews,0.726,0.274,0.0,20
20,-0.2263,Sat Mar 03 14:04:54 +0000 2018,@BBCNews,0.836,0.098,0.066,21
21,0.2023,Sat Mar 03 12:58:10 +0000 2018,@BBCNews,0.816,0.071,0.112,22
22,0.0,Sat Mar 03 12:46:36 +0000 2018,@BBCNews,1.0,0.0,0.0,23
23,0.0,Sat Mar 03 12:41:31 +0000 2018,@BBCNews,1.0,0.0,0.0,24
24,0.4215,Sat Mar 03 12:40:04 +0000 2018,@BBCNews,0.877,0.0,0.123,25
25,0.0,Sat Mar 03 12:26:53 +0000 2018,@BBCNews,1.0,0.0,0.0,26
26,-0.296,Sat Mar 03 11:54:33 +0000 2018,@BBCNews,0.905,0.095,0.0,27
27,0.0,Sat Mar 03 11:53:35 +0000 2018,@BBCNews,1.0,0.0,0.0,28
28,-0.296,Sat Mar 03 11:13:12 +0000 2018,@BBCNews,0.784,0.216,0.0,29
29,-0.6705,Sat Mar 03 10:52:33 +0000 2018,@BBCNews,0.303,0.515,0.182,30
30,-0.34,Sat Mar 03 10:19:33 +0000 2018,@BBCNews,0.893,0.107,0.0,31
31,0.0,Sat Mar 03 10:03:41 +0000 2018,@BBCNews,1.0,0.0,0.0,32
32,-0.7717,Sat Mar 03 09:48:17 +0000 2018,@BBCNews,0.691,0.309,0.0,33
33,0.0,Sat Mar 03 09:46:08 +0000 2018,@BBCNews,1.0,0.0,0.0,34
34,-0.4588,Sat Mar 03 09:10:16 +0000 2018,@BBCNews,0.633,0.244,0.123,35
35,0.2584,Sat Mar 03 09:07:57 +0000 2018,@BBCNews,0.865,0.0,0.135,36
36,0.6369,Sat Mar 03 08:41:19 +0000 2018,@BBCNews,0.729,0.0,0.271,37
37,0.0,Sat Mar 03 08:38:03 +0000 2018,@BBCNews,1.0,0.0,0.0,38
38,0.5719,Sat Mar 03 08:30:16 +0000 2018,@BBCNews,0.85,0.0,0.15,39
39,0.0,Sat Mar 03 08:15:39 +0000 2018,@BBCNews,1.0,0.0,0.0,40
40,-0.296,Sat Mar 03 06:05:51 +0000 2018,@BBCNews,0.804,0.196,0.0,41
41,0.0,Sat Mar 03 05:19:36 +0000 2018,@BBCNews,1.0,0.0,0.0,42
42,-0.5719,Sat Mar 03 02:18:40 +0000 2018,@BBCNews,0.46,0.54,0.0,43
43,0.0,Fri Mar 02 22:15:50 +0000 2018,@BBCNews,1.0,0.0,0.0,44
44,-0.6369,Fri Mar 02 22:15:39 +0000 2018,@BBCNews,0.656,0.344,0.0,45
45,0.0,Fri Mar 02 22:15:35 +0000 2018,@BBCNews,1.0,0.0,0.0,46
46,0.0,Fri Mar 02 22:15:29 +0000 2018,@BBCNews,1.0,0.0,0.0,47
47,0.0,Fri Mar 02 22:15:25 +0000 2018,@BBCNews,1.0,0.0,0.0,48
48,-0.5859,Fri Mar 02 22:15:16 +0000 2018,@BBCNews,0.655,0.256,0.089,49
49,0.765,Fri Mar 02 22:15:03 +0000 2018,@BBCNews,0.68,0.0,0.32,50
